timestamp_sec,frame,unit,location,item_slot_idx,gt_item,pred_item,outcome
60,frame_0060s.jpg,리븐,hex_r0_c1,0,EMPTY,,TN
60,frame_0060s.jpg,리븐,hex_r0_c1,1,EMPTY,,TN
60,frame_0060s.jpg,리븐,hex_r0_c1,2,EMPTY,,TN
60,frame_0060s.jpg,밀리오,hex_r1_c2,0,EMPTY,,TN
60,frame_0060s.jpg,밀리오,hex_r1_c2,1,EMPTY,,TN
60,frame_0060s.jpg,밀리오,hex_r1_c2,2,EMPTY,,TN
60,frame_0060s.jpg,미스 포츈,hex_r1_c3,0,EMPTY,,TN
60,frame_0060s.jpg,미스 포츈,hex_r1_c3,1,EMPTY,,TN
60,frame_0060s.jpg,미스 포츈,hex_r1_c3,2,EMPTY,,TN
60,frame_0060s.jpg,렉사이,hex_r1_c6,0,EMPTY,,TN
60,frame_0060s.jpg,렉사이,hex_r1_c6,1,EMPTY,,TN
60,frame_0060s.jpg,렉사이,hex_r1_c6,2,EMPTY,,TN
60,frame_0060s.jpg,밀리오,hex_r3_c0,0,EMPTY,,TN
60,frame_0060s.jpg,밀리오,hex_r3_c0,1,EMPTY,,TN
60,frame_0060s.jpg,밀리오,hex_r3_c0,2,EMPTY,,TN
60,frame_0060s.jpg,소나,hex_r3_c3,0,EMPTY,,TN
60,frame_0060s.jpg,소나,hex_r3_c3,1,EMPTY,,TN
60,frame_0060s.jpg,소나,hex_r3_c3,2,EMPTY,,TN
60,frame_0060s.jpg,나서스,bench_2,0,EMPTY,,TN
60,frame_0060s.jpg,나서스,bench_2,1,EMPTY,,TN
60,frame_0060s.jpg,나서스,bench_2,2,EMPTY,,TN
60,frame_0060s.jpg,밀리오,bench_6,0,EMPTY,,TN
60,frame_0060s.jpg,밀리오,bench_6,1,EMPTY,,TN
60,frame_0060s.jpg,밀리오,bench_6,2,EMPTY,,TN
60,frame_0060s.jpg,밀리오,bench_7,0,EMPTY,,TN
60,frame_0060s.jpg,밀리오,bench_7,1,EMPTY,,TN
60,frame_0060s.jpg,밀리오,bench_7,2,EMPTY,,TN
150,frame_0150s.jpg,리븐,hex_r0_c1,0,EMPTY,,TN
150,frame_0150s.jpg,리븐,hex_r0_c1,1,EMPTY,,TN
150,frame_0150s.jpg,리븐,hex_r0_c1,2,EMPTY,,TN
150,frame_0150s.jpg,미스 포츈,hex_r1_c3,0,EMPTY,,TN
150,frame_0150s.jpg,미스 포츈,hex_r1_c3,1,EMPTY,,TN
150,frame_0150s.jpg,미스 포츈,hex_r1_c3,2,EMPTY,,TN
150,frame_0150s.jpg,렉사이,hex_r1_c6,0,EMPTY,,TN
150,frame_0150s.jpg,렉사이,hex_r1_c6,1,EMPTY,,TN
150,frame_0150s.jpg,렉사이,hex_r1_c6,2,EMPTY,,TN
150,frame_0150s.jpg,밀리오,hex_r3_c0,0,EMPTY,,TN
150,frame_0150s.jpg,밀리오,hex_r3_c0,1,EMPTY,,TN
150,frame_0150s.jpg,밀리오,hex_r3_c0,2,EMPTY,,TN
150,frame_0150s.jpg,소나,hex_r3_c3,0,EMPTY,,TN
150,frame_0150s.jpg,소나,hex_r3_c3,1,EMPTY,,TN
150,frame_0150s.jpg,소나,hex_r3_c3,2,EMPTY,,TN
150,frame_0150s.jpg,조이,bench_2,0,EMPTY,,TN
150,frame_0150s.jpg,조이,bench_2,1,EMPTY,,TN
150,frame_0150s.jpg,조이,bench_2,2,EMPTY,,TN
150,frame_0150s.jpg,밀리오,bench_6,0,EMPTY,,TN
150,frame_0150s.jpg,밀리오,bench_6,1,EMPTY,,TN
150,frame_0150s.jpg,밀리오,bench_6,2,EMPTY,,TN
300,frame_0300s.jpg,밀리오,hex_r0_c1,0,EMPTY,,TN
300,frame_0300s.jpg,밀리오,hex_r0_c1,1,EMPTY,,TN
300,frame_0300s.jpg,밀리오,hex_r0_c1,2,EMPTY,,TN
300,frame_0300s.jpg,미스 포츈,hex_r0_c6,0,EMPTY,,TN
